latitude,longitude
42.86,-112.43
32.7,-117.24
34.06,-117.76
48.11,-123.44
41,-73.67
42.98,-82.44
40.93,-73.05
41.37,-74.69
29.11,-81
27.27,-80.35
48.11,-122.77
43.667,-70.267
38.73,-82.99
44.67,-74.98
40.24,-75.64
41.7,-73.93
47.74,-122.64
32.96,-117.03
34.54,-112.46
40.357,-74.67
44.3,-120.85
41.82,-71.41
38.25,-104.61
40.73,-73.95
46.733,-117.167
40.94,-78.97
40.71,-73.82
42.25,-71
35.77,-78.63
33.04,-116.87
34.12,-117.58
33.73,-116.41
33.76,-118.36
32.95,-117.11
44.07,-103.22
46.68,-123.738
40.33,-75.92
40.17,-122.23
40.58,-122.39
34.05,-117.18
47.67,-122.12
33.86,-118.38
37.48,-122.23
38.72,-75.08
39.52,-119.81
47.47,-122.2
43.82,-111.79
41.92,-73.9
46.28,-119.27
39.83,-84.89
45.81,-122.72
35.23,-106.66
40.92,-72.66
33.98,-117.37
43.02,-108.38
37.27,-79.9
44.04,-92.46
43.16,-77.61
40.58,-73.81
42.26,-89.06
44.1,-69.1
37.95,-91.76
34.26,-85.185
43.21,-75.46
33.39,-104.52
33.98,-117.91
35.28,-93.13
40.98,-73.68
38.58,-121.49
43.42,-83.95
44.94,-123.03
36.67,-121.65
38.36,-75.59
31.44,-100.45
29.42,-98.49
34.1,-117.3
33.42,-117.62
32.71,-117.16
37.77,-122.42
37.33,-121.88
35.27,-120.66
37.55,-122.31
37.78,-121.98
41.44,-82.7
33.93,-84.36
43.43,-70.77
33.74,-117.88
34.42,-119.69
34.39,-118.54
36.97,-122.02
35.68,-105.93
34.95,-120.43
34.01,-118.49
38.44,-122.71
32.83,-116.97
44.32,-74.13
27.33,-82.53
43.08,-73.78
46.5,-84.35
32.08,-81.09
40.98,-73.8
42.81,-73.94
43.1,-73.58
33.49,-111.92
41.4,-75.66
38.641,-75.611
36.61,-121.84
38.4,-122.83
46.65,-120.54
40.8,-76.86
48.07,-123.1
41.23,-80.49
44.8,-106.96
40.8,-72.87
47.756,-122.34
43.09,-87.89
32.52,-93.75
34.16,-118.05
34.27,-118.74
42.49,-96.4
43.54,-96.73
57.05,-135.33
40.86,-73.2
47.919,-122.091
40.71,-74
32.99,-117.27
34.59,-120.14
41.32,-73.71
37.98,-120.38
41.67,-86.25
40.38,-74.53
41.45,-71.525
34.12,-118.15
43.63,-70.27
32.94,-97.14
47.66,-117.42
40.29,-76.02
41.12,-74.04
39.78,-89.65
42.1,-72.58
37.18,-93.27
39.92,-83.81
41.91,-88.31
38.79,-90.51
45.55,-94.16
45.86,-122.8
38.63,-90.2
27.76,-82.64
39.7,-74.26
41.05,-73.53
33.46,-88.82
40.79,-77.86
32.45,-81.78
38.14,-79.07
42.58,-83.03
36.09,-97.05
37.95,-121.29
41.2,-73.12
40.98,-75.19
36.72,-76.58
33.92,-80.34
26.16,-80.27
40.64,-74
33.62,-112.36
-33.87,151.21
43.05,-76.15
47.24,-122.46
30.43,-84.28
27.95,-82.45
13.48,144.77
41.08,-73.86
41.9,-71.08
40.89,-74.01
33.49,-117.14
28.03,-82.38
39.46,-87.38
40.72,-73.98
34.17,-118.83
40.75,-73.98
41.65,-83.53
39.95,-74.19
39,-95.67
33.83,-118.34
40.5,-74.25
-19.26,146.82
44.77,-85.62
40.22,-74.76
40.71,-74
42.58,-83.14
42.72,-73.69
40.76,-73.97
45.37,-122.74
32.22,-110.97
47.478,-122.276
36.15,-95.99
34.25,-88.72
33.2,-87.56
42.56,-114.47
32.35,-95.3
63.82,20.26
-14.28,-170.68
38.35,-121.98
38.1,-122.25
34.18,-118.43
45.63,-122.6
34.28,-119.23
34.54,-117.29
30.13,-93.99
38.902699,-77.263944
36.85,-75.98
36.32,-119.3
31.551,-97.156
40.7,-74.01
46.065,-118.33
41.6,-74.18
34.02,-117.86
37.91,-122.06
42.49,-83.02
41.23,-80.81
41.23,-85.85
41.26,-74.36
38.9,-77.02
40.17,-80.24
40.73,-73.99
41.42,-74.16
41.55,-73.04
42.49,-92.34
42.49,-92.34
43.97,-75.91
36.92,-121.76
44.95,-89.63
40.92,-74.27
38.06,-78.88
47.42,-120.32
39.96,-75.6
34.06,-117.93
34.09,-118.37
40.7,-73.3
40.8,-74.24
26.71,-80.05
41.37,-73.96
40.73,-74
40.75,-73.58
33.75,-117.99
26.08,-80.37
41.12,-73.35
34.06,-118.43
40.06,-80.72
47.5,-122.34
41.04,-73.77
48.41,-114.34
33.97,-118.02
37.68,-97.33
33.91,-98.49
41.24,-75.88
40.7,-73.95
37.26,-76.7
41.24,-77
39.75,-75.55
34.21,-77.88
39.18,-78.16
28.49,-81.53
47.626,-122.52
36.09,-80.24
38.68,-121.77
40.75,-73.9
40.81,-81.93
42.26,-71.8
-33.28,151.41
46.6,-120.5
40.24,-74.84
39.8,-83.9
46.94,-122.6
40.93,-73.89
39.96,-76.72
41.1,-80.65
42.248,-83.61
32.69,-114.62
39.94,-82.01
